,current_day,clound_min,clound_max,clound_std,clound_median
296,2019-10-24,1.0,4.0,1.497472618255253,1.5
297,2019-10-25,1.0,4.0,1.378954368902449,2.5
298,2019-10-26,4.0,4.0,0.0,4.0
299,2019-10-27,1.0,4.0,1.0836246694508318,4.0
300,2019-10-28,1.0,4.0,1.4668044012461754,4.0
301,2019-10-29,1.0,4.0,1.378954368902449,4.0
302,2019-10-30,1.0,4.0,1.4433756729740645,2.0
303,2019-10-31,1.0,4.0,1.3568010505999362,2.0
304,2019-11-1,1.0,4.0,0.9045340337332909,1.0
305,2019-11-2,1.0,4.0,1.044465935734187,2.0
306,2019-11-3,1.0,4.0,0.9962049198956219,2.0
307,2019-11-4,1.0,4.0,0.9374368665610922,2.0
308,2019-11-5,1.0,4.0,1.1934162828797101,2.0
309,2019-11-6,1.0,4.0,1.403458930534474,1.5
310,2019-11-7,1.0,4.0,0.8660254037844386,2.0
311,2019-11-8,1.0,4.0,1.2401124093721454,3.5
312,2019-11-9,1.0,4.0,1.3568010505999362,3.0
313,2019-11-10,1.0,4.0,1.2792042981336627,1.5
314,2019-11-11,1.0,4.0,1.4433756729740645,1.0
315,2019-11-12,1.0,4.0,1.2154310870109943,2.5
316,2019-11-13,1.0,4.0,1.3113721705515067,2.0
317,2019-11-14,1.0,4.0,1.1934162828797101,2.0
318,2019-11-15,1.0,4.0,1.2792042981336627,1.5
319,2019-11-16,1.0,4.0,1.3568010505999362,3.0
320,2019-11-17,1.0,4.0,1.5447859516333116,1.0
321,2019-11-18,1.0,4.0,1.1146408580454255,1.5
322,2019-11-19,1.0,4.0,1.381698559415515,2.0
323,2019-11-20,1.0,4.0,1.5666989036012806,2.5
324,2019-11-21,1.0,4.0,1.3113721705515065,1.0
325,2019-11-22,1.0,4.0,1.3568010505999362,3.0
326,2019-11-23,0.0,4.0,1.3113721705515067,2.0
327,2019-11-24,1.0,4.0,1.1547005383792515,1.0
328,2019-11-25,1.0,4.0,1.2792042981336627,1.5
329,2019-11-26,1.0,4.0,1.4433756729740645,1.0
330,2019-11-27,1.0,4.0,1.3113721705515067,2.0
331,2019-11-28,1.0,4.0,1.1381803659589922,2.0
332,2019-11-29,1.0,4.0,1.3026778945578592,2.0
333,2019-11-30,1.0,4.0,1.4770978917519928,4.0
334,2019-12-1,1.0,4.0,0.8660254037844386,2.0
335,2019-12-2,1.0,4.0,1.5447859516333116,4.0
336,2019-12-3,1.0,4.0,1.4354811251305468,3.0
337,2019-12-4,1.0,4.0,1.5666989036012806,2.5
338,2019-12-5,1.0,4.0,1.3568010505999362,1.0
339,2019-12-6,1.0,4.0,1.164500152881315,1.0
340,2019-12-7,1.0,4.0,1.2792042981336627,1.5
341,2019-12-8,1.0,4.0,1.3568010505999362,2.0
342,2019-12-9,1.0,4.0,1.2401124093721454,2.0
343,2019-12-10,1.0,4.0,1.4770978917519928,4.0
344,2019-12-11,1.0,4.0,1.1677484162422844,2.0
345,2019-12-12,1.0,4.0,1.0730867399773196,2.0
346,2019-12-13,1.0,4.0,0.9374368665610922,2.0
347,2019-12-14,1.0,4.0,1.1281521496355325,2.0
348,2019-12-15,1.0,4.0,1.2673044646258473,3.0
349,2019-12-16,1.0,4.0,1.4433756729740643,2.0
350,2019-12-17,1.0,4.0,1.5666989036012806,2.5
351,2019-12-18,1.0,4.0,1.4770978917519928,4.0
352,2019-12-19,1.0,4.0,1.4770978917519928,4.0
353,2019-12-20,1.0,2.0,0.28867513459481287,2.0
354,2019-12-21,1.0,4.0,1.3026778945578592,2.0
355,2019-12-22,1.0,4.0,1.1934162828797101,2.0
356,2019-12-23,1.0,4.0,1.1934162828797101,2.0
357,2019-12-24,1.0,4.0,1.2401124093721454,2.0
358,2019-12-25,1.0,4.0,1.4433756729740645,2.0
359,2019-12-26,1.0,4.0,1.3113721705515065,1.0
360,2019-12-27,1.0,4.0,1.3568010505999362,2.0
361,2019-12-28,1.0,4.0,1.5666989036012806,2.5
362,2019-12-29,1.0,4.0,1.5050420310248864,3.0
363,2019-12-30,1.0,4.0,1.4770978917519928,4.0
364,2019-12-31,1.0,4.0,1.4770978917519928,1.0
365,2020-1-1,1.0,4.0,1.1677484162422844,1.0
366,2020-1-2,1.0,4.0,0.8660254037844386,1.0
367,2020-1-3,1.0,4.0,1.1547005383792515,1.0
368,2020-1-4,1.0,4.0,1.497472618255253,1.5
369,2020-1-5,1.0,4.0,1.4222261679238197,1.5
370,2020-1-6,1.0,4.0,1.5447859516333116,1.0
371,2020-1-7,1.0,4.0,1.3568010505999362,1.0
372,2020-1-8,1.0,4.0,1.337115846843043,1.0
373,2020-1-9,1.0,4.0,1.4433756729740645,2.0
374,2020-1-10,1.0,4.0,1.1146408580454255,1.5
375,2020-1-11,1.0,4.0,1.5050420310248864,3.0
376,2020-1-12,1.0,4.0,1.403458930534474,1.5
377,2020-1-13,1.0,4.0,1.1547005383792515,1.0
378,2020-1-14,1.0,4.0,1.3568010505999362,2.0
379,2020-1-15,1.0,4.0,1.378954368902449,4.0
380,2020-1-16,1.0,4.0,1.4770978917519928,4.0
381,2020-1-17,1.0,2.0,0.5149286505444373,1.0
382,2020-1-18,1.0,4.0,1.2154310870109943,4.0
383,2020-1-19,1.0,4.0,1.2673044646258476,4.0
384,2020-1-20,1.0,4.0,1.1677484162422844,4.0
385,2020-1-21,1.0,4.0,1.3568010505999362,4.0
386,2020-1-22,1.0,4.0,1.497472618255253,1.5
387,2020-1-23,1.0,4.0,0.9962049198956218,1.0
388,2020-1-24,1.0,4.0,0.8660254037844386,1.0
389,2020-1-25,1.0,4.0,0.8660254037844386,1.0
390,2020-1-26,1.0,4.0,1.1645001528813153,1.0
391,2020-1-27,1.0,4.0,1.0836246694508316,2.0
392,2020-1-28,1.0,4.0,1.0836246694508318,2.0
393,2020-1-29,1.0,4.0,1.3568010505999362,3.0
394,2020-1-30,1.0,4.0,1.1934162828797101,2.0
395,2020-1-31,1.0,4.0,1.1146408580454255,1.5
396,2020-2-1,1.0,4.0,0.90033663737852,1.0
397,2020-2-2,1.0,4.0,1.3026778945578592,2.0
398,2020-2-3,1.0,4.0,1.3113721705515067,2.0
399,2020-2-4,1.0,4.0,1.243163121016122,2.0
400,2020-2-5,1.0,4.0,1.378954368902449,4.0
401,2020-2-6,4.0,4.0,0.0,4.0
402,2020-2-7,1.0,4.0,1.1677484162422844,4.0
403,2020-2-8,1.0,4.0,1.3568010505999362,2.0
404,2020-2-9,1.0,4.0,1.4433756729740643,2.0
405,2020-2-10,1.0,4.0,0.9962049198956219,2.0
406,2020-2-11,1.0,4.0,1.1677484162422844,2.0
407,2020-2-12,1.0,4.0,1.3568010505999362,3.0
408,2020-2-13,1.0,4.0,1.3026778945578592,2.0
409,2020-2-14,1.0,4.0,1.2401124093721454,2.0
410,2020-2-15,1.0,4.0,1.378954368902449,4.0
